Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	BTO:0002381	IAO:0000115	Well differentiated human gastric adenocarcinoma cell line.	
ERROR	duplicate_definition	BTO:0002382	IAO:0000115	Well differentiated human gastric adenocarcinoma cell line.	
ERROR	duplicate_definition	BTO:0002383	IAO:0000115	Well differentiated human gastric adenocarcinoma cell line.	
ERROR	duplicate_definition	BTO:0005943	IAO:0000115	Visceral fat is composed of several adipose depots, including mesenteric, epididymal white adipose tissue EWAT, and perirenal depots.	
ERROR	duplicate_definition	BTO:0005944	IAO:0000115	Visceral fat is composed of several adipose depots, including mesenteric, epididymal white adipose tissue EWAT, and perirenal depots.	
ERROR	duplicate_definition	BTO:0005945	IAO:0000115	Visceral fat is composed of several adipose depots, including mesenteric, epididymal white adipose tissue EWAT, and perirenal depots.	
ERROR	duplicate_definition	BTO:0003278	IAO:0000115	Two cell lines derived from V79 chinese hamster cells were established to express human CYP11B1 and CYP11B2. They were called V79MZh11B1 and V79MZh11B2.	
ERROR	duplicate_definition	BTO:0003279	IAO:0000115	Two cell lines derived from V79 chinese hamster cells were established to express human CYP11B1 and CYP11B2. They were called V79MZh11B1 and V79MZh11B2.	
ERROR	duplicate_definition	BTO:0004562	IAO:0000115	Thymic stromal cells include thymic cortical epithelial cells, thymic medullary epithelial cells, and dendritic cells.	
ERROR	duplicate_definition	BTO:0004563	IAO:0000115	Thymic stromal cells include thymic cortical epithelial cells, thymic medullary epithelial cells, and dendritic cells.	
ERROR	duplicate_definition	BTO:0004564	IAO:0000115	Thymic stromal cells include thymic cortical epithelial cells, thymic medullary epithelial cells, and dendritic cells.	
ERROR	duplicate_definition	BTO:0005112	IAO:0000115	This cell line was derived in 1996 from a heterogeneous 32 week primary tumor in the prostate of a PB-Tag C57BL/6 (TRAMP) mouse.	
ERROR	duplicate_definition	BTO:0005113	IAO:0000115	This cell line was derived in 1996 from a heterogeneous 32 week primary tumor in the prostate of a PB-Tag C57BL/6 (TRAMP) mouse.	
ERROR	duplicate_definition	BTO:0005114	IAO:0000115	This cell line was derived in 1996 from a heterogeneous 32 week primary tumor in the prostate of a PB-Tag C57BL/6 (TRAMP) mouse.	
ERROR	duplicate_definition	BTO:0001426	IAO:0000115	The tube through which urine leaves the body. It empties urine from the bladder.	
ERROR	duplicate_definition	BTO:0004088	IAO:0000115	The tube through which urine leaves the body. It empties urine from the bladder.	
ERROR	duplicate_definition	BTO:0004089	IAO:0000115	The tube through which urine leaves the body. It empties urine from the bladder.	
ERROR	duplicate_definition	BTO:0000141	IAO:0000115	The soft, fatty, vascular tissue that fills most bone cavities and is the source of red blood cells and many white blood cells.	
ERROR	duplicate_definition	BTO:0004850	IAO:0000115	The soft, fatty, vascular tissue that fills most bone cavities and is the source of red blood cells and many white blood cells.	
ERROR	duplicate_definition	BTO:0004446	IAO:0000115	The S9 cell line and the C38 cell line were derived from the IB3-1 cell line.	
ERROR	duplicate_definition	BTO:0004447	IAO:0000115	The S9 cell line and the C38 cell line were derived from the IB3-1 cell line.	
ERROR	duplicate_definition	BTO:0001017	IAO:0000115	The ripened and variously modified walls of a plant ovary.	
ERROR	duplicate_definition	BTO:0004209	IAO:0000115	The ripened and variously modified walls of a plant ovary.	
ERROR	duplicate_definition	BTO:0002366	IAO:0000115	The outermost layer of trophoblast, produced by cytotrophoblast where there is direct contact with maternal decidua rather than blood. The EVT cells travel into the decidua, reacting with NK cells and invading maternal blood vessels feeding the placenta, softening the walls and replacing the lining with fetal tissue, a process called conversion.	
